PoL_Timestamp,Currency.Code,Order.number,Quantity,Amount,Outstanding.Quantity,Outstanding.Amount,Qty_.to.Receive,Quantity.Received,ItemNo,k_ExpectedReceiptDate,k_RequestedReceiptDate,k_ConfirmedDeliveryDate,k_ETCDate,k_B_L.Date,k_OrderDate,k_PostingDate,k_DateReceived,PoH_Timestamp
2.02302E+13,USD,4511965866,122,2541,0,0,0,122,433779,20230224,20230215,20221231,2022,20230223,20220922,20230223,20230223,2.02302E+13
2.02307E+13,USD,4520950197,61,1270,0,0,0,61,433779,20230501,20230215,20221231,2022,20230206,20220922,20230330,20230330,2.02307E+13
2.02307E+13,USD,4524944319,61,1288,0,0,0,61,433779,20230224,20230215,20221231,2022,20230217,20220922,20230227,20230227,2.02307E+13
2.02309E+13,USD,4526038255,31,678,0,0,0,31,554197,20230926,20231015,20230831,2023,20230925,20230428,20230925,20230925,2.02309E+13
2.02309E+13,USD,4579598589,1986,41548,0,0,0,1986,554197,20230921,20231015,20230831,2023,20230920,20230428,20230920,20230920,2.02309E+13
2.0231E+13,USD,4524877047,2292,63316,0,0,0,2292,951364,20231024,20231015,20230831,2023,20231023,20230428,20231023,20231023,2.0231E+13
2.0231E+13,USD,4527698351,764,21105,0,0,0,764,951364,20231024,20231015,20230831,2023,20231023,20230428,20231023,20231023,2.0231E+13
2.02303E+13,USD,4530638202,31,1835,0,0,0,31,380481,20230314,20230315,20230131,2023,20230313,20220922,20230313,20230313,2.02303E+13
2.02302E+13,USD,4510081393,183,10824,0,0,0,183,380481,20230202,20230115,20221130,2022,20230201,20220824,20230201,20230201,2.02302E+13
2.02301E+13,USD,4529162393,31,1807,31,1807,31,0,380481,20230214,20230301,20221231,2022,NULL,20220824,NULL,NULL,2.02301E+13
2.02301E+13,USD,4565912229,92,5419,92,5419,92,0,380481,20230213,20230301,20221231,2022,NULL,20220824,NULL,NULL,2.02301E+13
2.02303E+13,USD,4537337820,31,1835,0,0,0,31,380481,20230314,20230315,20230131,2023,20230313,20220922,20230313,20230313,2.02303E+13
2.02302E+13,USD,4527165106,428,25255,0,0,0,428,380481,20230202,20230115,20221130,2022,20230201,20220824,20230201,20230201,2.02302E+13
2.02302E+13,USD,4566726590,92,5607,0,0,0,92,685573,20230202,20230115,20221130,2022,20230201,20220824,20230201,20230201,2.02302E+13
2.02304E+13,USD,4577222790,214,3503,0,0,0,214,755515,20200707,20200630,20200430,NULL,20200706,20200212,20200706,20200706,2.02304E+13
