"article_id","price","sellable_online"
566809,745,TRUE
539551,9,TRUE
686249,295,TRUE
785243,495,TRUE
722922,49,TRUE
802358,475,TRUE
146293,745,TRUE
858374,695,TRUE
812841,545,TRUE
607102,445,TRUE
868354,875,TRUE
905971,94,TRUE
537367,149,TRUE
677711,1175,TRUE
784172,4841,TRUE
532657,995,TRUE
556020,1770,TRUE
422078,25,TRUE
590003,231.6,TRUE
209670,540,FALSE
156313,9,TRUE
268687,735,TRUE
620466,250,TRUE
192425,775,TRUE
845634,445,TRUE
302351,1570,TRUE
444553,480,TRUE
175239,1550,TRUE
161900,80,TRUE
539498,695,TRUE
755948,695,TRUE
192302,310,TRUE
397357,395,TRUE
368543,1830,TRUE
702800,360,TRUE
821617,915,TRUE
814357,645,TRUE
162385,175,TRUE
536204,22,TRUE
169835,995,TRUE
960322,1255,TRUE
338041,25,TRUE
628903,345,TRUE
321851,25,TRUE
494605,85,TRUE
118103,2020,TRUE
961524,585,TRUE
567953,660,TRUE
617729,620,TRUE
986852,50,TRUE
700331,49,TRUE
245785,125,TRUE
198545,1710,TRUE
225870,1996,TRUE
140327,375,TRUE
271495,772,TRUE
957235,1395,TRUE
266561,516,TRUE
299678,745,TRUE
294172,35,TRUE
690570,195,TRUE
585143,149,TRUE
713532,570,TRUE
205237,1145,TRUE
340854,345,TRUE
100235,30,TRUE
546099,695,TRUE
268230,69,TRUE
633310,175,TRUE
975026,275,FALSE
373386,15.6,TRUE
805470,2275,TRUE
849520,978,TRUE
167955,345,TRUE
554320,435,TRUE
357964,49,TRUE
275424,25,TRUE
834544,17,TRUE
352600,115,TRUE
177466,595,TRUE
908601,10,TRUE
681332,1824.5,TRUE
612802,295,TRUE
733868,250,TRUE
196758,695,TRUE
334280,225,TRUE
804859,60,TRUE
741887,745,TRUE
962746,84,TRUE
106399,445,TRUE
152813,20,TRUE
714132,15,TRUE
759966,2932,TRUE
954386,555,TRUE
362900,1035,TRUE
227464,150,TRUE
247095,4265,TRUE
828609,1719,TRUE
776823,2176,TRUE
946107,445,TRUE
990005,45,TRUE
698576,515,TRUE
360958,22,TRUE
566973,745,TRUE
614994,40,TRUE
719173,585,TRUE
293344,75,TRUE
302651,420,TRUE
646144,1145,TRUE
807269,1495,TRUE
330285,395,TRUE
646907,570,TRUE
474763,995,TRUE
432272,1400,TRUE
782426,425,TRUE
672625,695,TRUE
795954,225,TRUE
152586,695,TRUE
144528,2195,TRUE
602218,414,TRUE
219008,796,TRUE
552261,620,TRUE
178061,125,TRUE
375456,150,TRUE
981208,1085,TRUE
530993,2236,TRUE
832867,200,TRUE
960169,830,TRUE
233062,45,TRUE
414199,295,TRUE
443172,500,TRUE
370398,795,TRUE
223368,25,TRUE
237474,2290,TRUE
680543,35,TRUE
759228,595,TRUE
755846,1195,TRUE
693936,1640,TRUE
200883,100,TRUE
737003,175,TRUE
611959,1725,TRUE
464701,15,TRUE
440445,225,TRUE
285801,595,TRUE
709414,895,TRUE
626871,395,TRUE
321107,4488,TRUE
561806,5780,TRUE
700996,480,TRUE
109360,275,TRUE
731475,8551,TRUE
629917,295,TRUE
450402,475,TRUE
992872,150,TRUE
571723,2710,TRUE
548456,1035,TRUE
559501,595,TRUE
244547,175,TRUE
276166,595,TRUE
153947,225,TRUE
593348,199,TRUE
446499,1120,TRUE
945274,5300,TRUE
562123,480,TRUE
866475,395,TRUE
599394,4295,TRUE
233785,1020,TRUE
686495,1340,TRUE
537658,1800,TRUE
496203,2610,TRUE
893008,395,TRUE
232698,1075,TRUE
921394,1975,TRUE
168501,3665,TRUE
364296,1226,TRUE
920913,1409,TRUE
133091,297,TRUE
171229,445,TRUE
399106,1265,TRUE
733911,1645,TRUE
629062,295,TRUE
994012,2330,TRUE
781033,4260,TRUE
713268,275,TRUE
673094,1588,TRUE
434771,1060,TRUE
872871,771,TRUE
384985,965,TRUE
282867,375,TRUE
806394,165,TRUE
130022,2115,TRUE
607241,80,TRUE
821269,984,TRUE
335678,1431,TRUE
300226,900,TRUE
921180,4270,TRUE
161871,285,TRUE
378002,2345,TRUE
121546,2345,TRUE
107127,450,TRUE
100593,1525,TRUE
283805,1660,TRUE
423366,4220,TRUE
461167,4220,TRUE
896960,2725,TRUE
587166,245,TRUE
260433,2794,TRUE
705773,5144,TRUE
713622,2016,TRUE
193391,597,TRUE
865928,3075,TRUE
156833,3555,TRUE
819143,1580,TRUE
296257,1675,TRUE
108063,499,TRUE
443362,845,TRUE
806873,645,TRUE
392885,1780,TRUE
159138,235,TRUE
997253,675,TRUE
799335,1795,TRUE
500629,1135,TRUE
653570,4040,TRUE
193861,2345,TRUE
177487,545,TRUE
984936,2196,TRUE
405872,2636,TRUE
885171,2995,TRUE
321669,1545,TRUE
201442,3680,TRUE
191901,995,TRUE
155639,380,TRUE
208284,1640,TRUE
775847,4145,TRUE
547540,990,TRUE
305659,745,TRUE
465500,5040,TRUE
495063,665,TRUE
149595,350,TRUE
